actmed,latitude,longitude,Position_Defender,Position_Forward,Position_Goalkeeper,Position_Midfielder,Class_Freshman,Class_Junior,Class_Redshirt Freshman,Class_Senior,Class_Sophomore
18.5,-19.9673078,-44.2011904,0,1,0,0,0,0,0,1,0
18.5,31.344547100000003,-109.5453447,0,0,0,1,0,0,0,1,0
18.5,33.538652299999995,-112.1859866,1,0,0,0,0,0,0,1,0
18.5,41.1399814,-104.8202462,1,0,0,0,0,0,0,1,0
18.5,33.538652299999995,-112.1859866,0,0,0,1,0,0,0,1,0
18.5,32.2226066,-110.9747108,1,0,0,0,0,0,0,1,0
18.5,-22.9068467,-43.1728965,0,1,0,0,0,0,0,1,0
18.5,15.770288,-86.7919009,0,0,0,1,0,0,0,1,0
18.5,39.9202178,-104.8660597,0,0,0,1,0,0,0,1,0
25.0,55.6760968,12.568337199999998,0,0,1,0,0,1,0,0,0
25.0,57.10711800000001,12.252090699999998,1,0,0,0,0,0,0,1,0
25.0,38.9716689,-95.2352501,1,0,0,0,0,1,0,0,0
25.0,30.09716210000001,-95.6160549,1,0,0,0,0,0,0,0,1
25.0,35.0886963,-92.4421011,0,0,0,1,0,0,0,1,0
25.0,39.8895925,-0.08483020000000001,1,0,0,0,1,0,0,0,0
25.0,55.6760968,12.568337199999998,0,0,0,1,0,1,0,0,0
25.0,55.75311,12.5386957,0,0,0,1,0,0,0,0,1
25.0,33.628909,-111.9214151,0,0,0,1,1,0,0,0,0
25.0,58.587745,16.192421,0,1,0,0,0,1,0,0,0
25.0,58.587745,16.192421,0,0,0,1,0,0,0,1,0
25.0,56.581027,10.1874649,0,1,0,0,0,1,0,0,0
25.0,58.96997560000001,5.7331074,1,0,0,0,1,0,0,0,0
25.0,29.7604267,-95.3698028,0,0,0,1,0,0,0,1,0
25.0,43.9631607,-78.9571069,0,0,0,1,1,0,0,0,0
25.0,41.6488226,-0.8890853000000001,1,0,0,0,1,0,0,0,0
25.0,32.948333500000004,-96.7298519,0,1,0,0,1,0,0,0,0
25.0,35.6803997,139.76901740000002,0,0,0,1,0,0,0,0,1
25.0,32.2226066,-110.9747108,1,0,0,0,0,1,0,0,0
25.0,46.882318700000006,-114.0213807,0,1,0,0,0,0,0,0,1
25.0,40.4167754,-3.7037902,1,0,0,0,1,0,0,0,0
25.0,59.4419,18.0703298,0,0,1,0,0,1,0,0,0
25.0,57.8940664,16.169370999999998,0,0,1,0,0,1,0,0,0
25.0,35.609611,-82.568876,0,0,0,1,1,0,0,0,0
25.0,32.975641499999995,-96.8899636,0,0,1,0,1,0,0,0,0
25.0,35.4436739,139.6379639,0,0,0,1,1,0,0,0,0
25.0,69.232038,17.980855399999996,0,1,0,0,1,0,0,0,0
