,0,1,2
239,Eastern Connecticut State University,Eastern Connecticut State University,0.0
240,Nova Southeastern University,Nova Southeastern University,0.0
241,Ouachita Baptist University,Ouachita Baptist University,0.0
242,Defiance College,Defiance College,0.0
243,Franklin College,Franklin College,0.0
244,Missouri Southern State University,Missouri Southern State University,0.0
245,University of Scranton,University of Scranton,0.0
246,Covenant College,Covenant College,0.0
247,Mount Aloysius College,Mount Aloysius College,0.0
248,Brewton-Parker College,Brewton-Parker College,0.0
249,Holy Family University,Holy Family University,0.0
250,Bard College at Simon's Rock,Bard College at Simon's Rock,0.0
251,Connecticut College,Connecticut College,0.0
252,University of South Florida-Sarasota-Manatee,University of South Florida-Sarasota-Manatee,0.0
253,Le Moyne College,Le Moyne College,0.0
254,LaGrange College,LaGrange College,0.0
255,The Master's College and Seminary,The Master's University and Seminary,0.25
256,University of South Carolina-Upstate,University of South Carolina-Upstate,0.0
257,Wofford College,Wofford College,0.0
258,St Lawrence University,St Lawrence University,0.0
259,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0.0
260,Edgewood College,Edgewood College,0.0
261,Sacred Heart University,Sacred Heart University,0.0
262,Thomas University,Thomas University,0.0
263,Rockhurst University,Rockhurst University,0.0
264,Gordon College,Gordon College,0.0
265,Temple University,Temple University,0.0
266,University of Delaware,University of Delaware,0.0
267,California State University-Stanislaus,California State University-Stanislaus,0.0
268,Rhode Island College,Rhode Island College,0.0
269,Chowan University,Chowan University,0.0
270,University of New England,University of New England,0.0
271,Midwestern State University,Midwestern State University,0.0
272,Southern New Hampshire University,Southern New Hampshire University,0.0
273,Colorado Mesa University,Colorado Mesa University,0.0
274,Duke University,Duke University,0.0
275,University of Wisconsin-Green Bay,University of Wisconsin-Green Bay,0.0
276,Taylor University,Taylor University,0.0
277,Cedarville University,Cedarville University,0.0
278,Webster University,Webster University,0.0
279,Catawba College,Catawba College,0.0
280,California State University-East Bay,California State University-East Bay,0.0
281,Ohio Wesleyan University,Ohio Wesleyan University,0.0
282,Presbyterian College,Presbyterian College,0.0
283,Wesley College,Wesley College,0.0
284,Radford University,Radford University,0.0
285,Bowling Green State University-Main Campus,Bowling Green State University-Main Campus,0.0
286,Martin Luther College,Martin Luther College,0.0
287,Washington College,Washington College,0.0
288,Boston University,Boston University,0.0
289,University of Kentucky,University of Kentucky,0.0
290,Adelphi University,Adelphi University,0.0
291,Seattle Pacific University,Seattle Pacific University,0.0
292,Colorado School of Mines,Colorado School of Mines,0.0
293,Montreat College,Montreat College,0.0
294,Jacksonville University,Jacksonville University,0.0
295,Northwest University,Northwest University,0.0
296,Appalachian State University,Appalachian State University,0.0
297,Rosemont College,Rosemont College,0.0
298,Old Dominion University,Old Dominion University,0.0
299,Whittier College,Whittier College,0.0
300,University of Central Arkansas,University of Central Arkansas,0.0
301,Drew University,Drew University,0.0
302,Queens University of Charlotte,Queens University of Charlotte,0.0
303,Iona College,Iona College,0.0
304,Arcadia University,Arcadia University,0.0
305,Florida College,Florida College,0.0
306,Western Washington University,Western Washington University,0.0
307,University of Dubuque,University of Dubuque,0.0
308,University of Detroit Mercy,University of Detroit Mercy,0.0
309,Concordia University-Chicago,Concordia University-Chicago,0.0
310,Grand View University,Grand View University,0.0
311,Drexel University,Drexel University,0.0
312,Nichols College,Nichols College,0.0
313,Belhaven University,Belhaven University,0.0
314,Centenary College,Century College,0.17647058823529413
315,William Jewell College,William Jewell College,0.0
316,Cornell College,Cornell College,0.0
317,Oglethorpe University,Oglethorpe University,0.0
318,Endicott College,Endicott College,0.0
319,Colgate University,Colgate University,0.0
320,Fordham University,Fordham University,0.0
321,North Carolina A & T State University,North Carolina A & T State University,0.0
322,Malone University,Malone University,0.0
323,University of the Pacific,University of the Pacific,0.0
324,Dominican University,Dominican University,0.0
325,Bates College,Bates College,0.0
326,Concordia University-Wisconsin,Concordia University-Wisconsin,0.0
327,Davenport University,Davenport University,0.0
328,Grace Bible College,Epic Bible College,0.21052631578947367
329,LaGrange College,LaGrange College,0.0
330,Roger Williams University,Roger Williams University,0.0
331,Brewton-Parker College,Brewton-Parker College,0.0
332,Misericordia University,Misericordia University,0.0
333,University of California-Berkeley,University of California-Berkeley,0.0
334,Westmont College,Westmont College,0.0
335,Gustavus Adolphus College,Gustavus Adolphus College,0.0
336,University of Wisconsin-Whitewater,University of Wisconsin-Whitewater,0.0
337,University of the Incarnate Word,University of the Incarnate Word,0.0
338,San Francisco State University,San Francisco State University,0.0
339,California Maritime Academy,Maine Maritime Academy,0.25925925925925924
340,University of South Carolina-Aiken,University of South Carolina-Aiken,0.0
341,University of Memphis,University of Memphis,0.0
342,Cazenovia College,Cazenovia College,0.0
343,Brewton-Parker College,Brewton-Parker College,0.0
344,Lee University,Lee University,0.0
345,William Penn University,William Penn University,0.0
346,Aurora University,Aurora University,0.0
347,Oberlin College,Oberlin College,0.0
348,York College,York College,0.0
349,Drury University,Drury University,0.0
350,Niagara University,Niagara University,0.0
351,Southern Connecticut State University,Southern Connecticut State University,0.0
352,University of Dallas,University of Dallas,0.0
353,University of North Carolina at Asheville,University of North Carolina at Asheville,0.0
354,Catholic University of America,Catholic University of America,0.0
355,San Jose State University,San Jose State University,0.0
356,University of North Carolina at Pembroke,University of North Carolina at Pembroke,0.0
357,Capital University,Capital University,0.0
358,Georgia Southern University,Georgia Southern University,0.0
359,St Mary's University,St. Mary's University,0.047619047619047616
360,Greensboro College,Greensboro College,0.0
361,LeTourneau University,LeTourneau University,0.0
362,Brandeis University,Brandeis University,0.0
363,University of Portland,University of Portland,0.0
364,University of California-Riverside,University of California-Riverside,0.0
365,Stetson University,Stetson University,0.0
366,Rutgers University-Camden,Rutgers University-Camden,0.0
367,Northeastern State University,Northeastern State University,0.0
368,Lebanon Valley College,Lebanon Valley College,0.0
369,West Texas A & M University,West Texas A & M University,0.0
370,Saint Leo University,Saint Leo University,0.0
371,Nebraska Wesleyan University,Nebraska Wesleyan University,0.0
372,Yale University,Yale University,0.0
373,California State University-Sacramento,California State University-Sacramento,0.0
374,Huntington University,Huntington University,0.0
375,Liberty University,Liberty University,0.0
376,Lincoln Memorial University,Lincoln Memorial University,0.0
377,Duquesne University,Duquesne University,0.0
378,University of Tulsa,University of Tulsa,0.0
379,Olivet College,Olivet College,0.0
380,University of Saint Joseph,University of Saint Joseph,0.0
381,Salisbury University,Salisbury University,0.0
382,Holy Names University,Holy Names University,0.0
383,Loyola University Maryland,Loyola University Maryland,0.0
384,Xavier University,Xavier University,0.0
385,Pennsylvania State University-Penn State Altoona,Pennsylvania State University-Penn State Altoona,0.0
386,Colorado School of Mines,Colorado School of Mines,0.0
387,University of Massachusetts-Boston,University of Massachusetts-Boston,0.0
388,College of Charleston,College of Charleston,0.0
389,Santa Clara University,Santa Clara University,0.0
390,St Thomas University,St. Thomas University,0.047619047619047616
391,Central Connecticut State University,Central Connecticut State University,0.0
392,Western Michigan University,Western Michigan University,0.0
393,Wesleyan University,Wesleyan University,0.0
394,East Texas Baptist University,East Texas Baptist University,0.0
395,Texas A & M International University,Texas A & M International University,0.0
396,Northwestern University,Northwestern University,0.0
397,The University of West Florida,The University of West Florida,0.0
398,Auburn University at Montgomery,Auburn University at Montgomery,0.0
399,University of Alabama in Huntsville,University of Alabama in Huntsville,0.0
400,Seattle University,Seattle University,0.0
401,LIU Post,LIM College,0.6363636363636364
